"Date","Open","High","Low","Close","Volume","Daily Movement","Daily Movement (Percent)"
"28 Apr 2025","$2.93","$2.95","$2.92","$2.94","803,966","0.01","0.34%"
"24 Apr 2025","$2.93","$2.93","$2.90","$2.92","817,601","-0.01","-0.34%"
"23 Apr 2025","$2.90","$2.94","$2.88","$2.92","1,120,187","0.02","0.69%"
"22 Apr 2025","$2.87","$2.90","$2.87","$2.89","659,714","0.02","0.70%"
"17 Apr 2025","$2.87","$2.90","$2.86","$2.89","1,083,565","0.02","0.70%"
"16 Apr 2025","$2.85","$2.89","$2.85","$2.87","1,692,396","0.02","0.70%"
"15 Apr 2025","$2.89","$2.90","$2.86","$2.87","1,144,215","-0.02","-0.69%"
"14 Apr 2025","$2.90","$2.91","$2.87","$2.89","959,947","-0.01","-0.34%"
"11 Apr 2025","$2.88","$2.90","$2.86","$2.88","1,550,783","0","0%"
"10 Apr 2025","$2.89","$2.94","$2.89","$2.92","1,523,937","0.03","1.04%"
"9 Apr 2025","$2.85","$2.88","$2.81","$2.81","2,448,089","-0.04","-1.40%"
"8 Apr 2025","$2.85","$2.92","$2.84","$2.90","1,889,429","0.05","1.75%"
"7 Apr 2025","$2.83","$2.86","$2.78","$2.85","2,542,175","0.02","0.71%"
"4 Apr 2025","$2.89","$2.94","$2.87","$2.92","1,188,760","0.03","1.04%"
"3 Apr 2025","$2.90","$2.92","$2.86","$2.91","805,289","0.01","0.34%"
"2 Apr 2025","$2.91","$2.95","$2.87","$2.92","1,953,762","0.01","0.34%"
"1 Apr 2025","$2.89","$2.91","$2.87","$2.89","1,111,390","0","0%"
"31 Mar 2025","$2.88","$2.89","$2.85","$2.88","2,272,186","0","0%"
"28 Mar 2025","$2.90","$2.92","$2.87","$2.90","1,173,781","0","0%"
"27 Mar 2025","$2.96","$2.98","$2.95","$2.96","924,412","0","0%"
"26 Mar 2025","$2.97","$3.00","$2.95","$2.98","1,393,272","0.01","0.34%"
"25 Mar 2025","$2.96","$2.99","$2.95","$2.97","750,705","0.01","0.34%"
"24 Mar 2025","$3.00","$3.03","$2.95","$2.95","996,549","-0.05","-1.67%"
"21 Mar 2025","$2.92","$2.98","$2.92","$2.98","3,864,007","0.06","2.05%"
"20 Mar 2025","$2.93","$2.94","$2.91","$2.92","1,416,481","-0.01","-0.34%"
"19 Mar 2025","$2.91","$2.94","$2.90","$2.90","1,061,697","-0.01","-0.34%"
"18 Mar 2025","$2.90","$2.95","$2.90","$2.92","1,093,830","0.02","0.69%"
"17 Mar 2025","$2.90","$2.93","$2.88","$2.90","986,608","0","0%"
"14 Mar 2025","$2.90","$2.92","$2.87","$2.89","1,018,324","-0.01","-0.34%"
"13 Mar 2025","$2.91","$2.93","$2.88","$2.89","872,484","-0.02","-0.69%"
"12 Mar 2025","$2.91","$2.93","$2.89","$2.89","1,296,240","-0.02","-0.69%"
"11 Mar 2025","$2.91","$2.95","$2.89","$2.93","1,036,574","0.02","0.69%"
"10 Mar 2025","$2.96","$2.96","$2.92","$2.92","787,640","-0.04","-1.35%"
"7 Mar 2025","$2.97","$2.99","$2.93","$2.93","780,120","-0.04","-1.35%"
"6 Mar 2025","$2.98","$2.99","$2.96","$2.98","961,435","0","0%"
"5 Mar 2025","$3.00","$3.02","$2.97","$2.98","1,200,771","-0.02","-0.67%"
"4 Mar 2025","$3.00","$3.03","$2.98","$3.01","1,301,217","0.01","0.33%"
"3 Mar 2025","$2.99","$3.01","$2.98","$3.00","1,138,951","0.01","0.33%"
"28 Feb 2025","$3.06","$3.07","$2.99","$2.99","4,682,260","-0.07","-2.29%"
"27 Feb 2025","$3.00","$3.06","$3.00","$3.06","1,155,594","0.06","2%"
"26 Feb 2025","$3.03","$3.03","$2.99","$3.01","1,471,065","-0.02","-0.66%"
"25 Feb 2025","$2.98","$3.02","$2.96","$3.02","1,591,609","0.04","1.34%"
"24 Feb 2025","$2.93","$2.97","$2.92","$2.95","1,674,277","0.02","0.68%"
"21 Feb 2025","$2.95","$2.97","$2.93","$2.93","825,403","-0.02","-0.68%"
"20 Feb 2025","$2.91","$2.94","$2.90","$2.93","1,254,982","0.02","0.69%"
"19 Feb 2025","$2.95","$2.95","$2.90","$2.93","1,334,892","-0.02","-0.68%"
"18 Feb 2025","$2.94","$2.97","$2.93","$2.95","1,221,651","0.01","0.34%"
"17 Feb 2025","$2.90","$2.94","$2.88","$2.93","1,119,154","0.03","1.03%"
"14 Feb 2025","$2.90","$2.91","$2.86","$2.88","691,140","-0.02","-0.69%"
"13 Feb 2025","$2.89","$2.91","$2.84","$2.86","855,318","-0.03","-1.04%"
"12 Feb 2025","$2.90","$2.90","$2.86","$2.88","1,389,841","-0.02","-0.69%"
"11 Feb 2025","$2.88","$2.90","$2.87","$2.88","810,420","0","0%"
"10 Feb 2025","$2.88","$2.89","$2.86","$2.87","498,152","-0.01","-0.35%"
"7 Feb 2025","$2.89","$2.91","$2.88","$2.88","699,054","-0.01","-0.35%"
"6 Feb 2025","$2.88","$2.91","$2.88","$2.89","816,137","0.01","0.35%"
"5 Feb 2025","$2.88","$2.89","$2.85","$2.88","1,142,251","0","0%"
"4 Feb 2025","$2.91","$2.91","$2.85","$2.85","1,607,324","-0.06","-2.06%"
"3 Feb 2025","$2.92","$2.92","$2.88","$2.88","1,543,618","-0.04","-1.37%"
"31 Jan 2025","$2.94","$2.95","$2.92","$2.94","1,623,003","0","0%"
"30 Jan 2025","$2.94","$2.96","$2.91","$2.92","1,384,237","-0.02","-0.68%"
"29 Jan 2025","$2.92","$2.97","$2.92","$2.94","1,712,492","0.02","0.68%"
"28 Jan 2025","$2.95","$2.96","$2.91","$2.92","2,284,883","-0.03","-1.02%"
"24 Jan 2025","$2.86","$2.92","$2.86","$2.91","1,530,051","0.05","1.75%"
"23 Jan 2025","$2.87","$2.89","$2.85","$2.86","2,120,006","-0.01","-0.35%"
"22 Jan 2025","$2.87","$2.91","$2.87","$2.87","2,206,765","0","0%"
"21 Jan 2025","$2.87","$2.87","$2.84","$2.85","730,294","-0.02","-0.70%"
"20 Jan 2025","$2.87","$2.88","$2.85","$2.86","778,622","-0.01","-0.35%"
"17 Jan 2025","$2.83","$2.88","$2.83","$2.85","1,097,963","0.02","0.71%"
"16 Jan 2025","$2.85","$2.87","$2.83","$2.83","1,383,826","-0.02","-0.70%"
"15 Jan 2025","$2.82","$2.85","$2.81","$2.82","685,583","0","0%"
"14 Jan 2025","$2.80","$2.83","$2.80","$2.83","1,066,169","0.03","1.07%"
"13 Jan 2025","$2.83","$2.83","$2.78","$2.78","1,764,790","-0.05","-1.77%"
"10 Jan 2025","$2.83","$2.85","$2.82","$2.85","1,156,054","0.02","0.71%"
"9 Jan 2025","$2.82","$2.85","$2.82","$2.83","1,096,988","0.01","0.35%"
"8 Jan 2025","$2.88","$2.89","$2.82","$2.82","3,052,259","-0.06","-2.08%"
"7 Jan 2025","$2.86","$2.92","$2.84","$2.91","1,606,629","0.05","1.75%"
"6 Jan 2025","$2.90","$2.92","$2.88","$2.89","1,519,885","-0.01","-0.34%"
"3 Jan 2025","$2.85","$2.90","$2.85","$2.89","789,753","0.04","1.40%"
"2 Jan 2025","$2.86","$2.88","$2.82","$2.85","882,256","-0.01","-0.35%"
"31 Dec 2024","$2.88","$2.88","$2.82","$2.82","1,196,031","-0.06","-2.08%"
"30 Dec 2024","$2.88","$2.88","$2.84","$2.85","1,402,271","-0.03","-1.04%"
"27 Dec 2024","$2.90","$2.91","$2.88","$2.91","1,451,893","0.01","0.34%"
"24 Dec 2024","$2.86","$2.90","$2.86","$2.90","407,308","0.04","1.40%"
"23 Dec 2024","$2.87","$2.87","$2.84","$2.87","1,430,739","0","0%"
"20 Dec 2024","$2.91","$2.91","$2.83","$2.83","2,926,207","-0.08","-2.75%"
"19 Dec 2024","$2.87","$2.88","$2.86","$2.87","2,500,220","0","0%"
"18 Dec 2024","$2.86","$2.93","$2.86","$2.91","3,634,425","0.05","1.75%"
"17 Dec 2024","$2.84","$2.89","$2.83","$2.87","1,880,000","0.03","1.06%"
"16 Dec 2024","$2.85","$2.86","$2.83","$2.84","1,877,569","-0.01","-0.35%"
"13 Dec 2024","$2.86","$2.87","$2.84","$2.86","1,182,384","0","0%"
"12 Dec 2024","$2.88","$2.89","$2.85","$2.87","2,083,525","-0.01","-0.35%"
"11 Dec 2024","$2.86","$2.88","$2.84","$2.88","1,409,460","0.02","0.70%"
"10 Dec 2024","$2.87","$2.88","$2.83","$2.86","3,401,441","-0.01","-0.35%"
"9 Dec 2024","$2.92","$2.93","$2.85","$2.87","3,253,648","-0.05","-1.71%"
"6 Dec 2024","$2.92","$2.95","$2.91","$2.92","1,972,486","0","0%"
"5 Dec 2024","$2.94","$2.95","$2.90","$2.91","2,565,185","-0.03","-1.02%"
"4 Dec 2024","$2.97","$2.98","$2.92","$2.94","3,061,693","-0.03","-1.01%"
"3 Dec 2024","$2.99","$2.99","$2.97","$2.97","2,776,540","-0.02","-0.67%"
"2 Dec 2024","$2.94","$2.98","$2.94","$2.97","4,528,266","0.03","1.02%"
"29 Nov 2024","$2.96","$2.98","$2.94","$2.94","2,719,315","-0.02","-0.68%"
"28 Nov 2024","$2.99","$2.99","$2.96","$2.97","2,374,398","-0.02","-0.67%"
"27 Nov 2024","$3.00","$3.00","$2.97","$2.98","1,090,876","-0.02","-0.67%"
"26 Nov 2024","$3.00","$3.03","$2.98","$2.98","1,935,122","-0.02","-0.67%"
"25 Nov 2024","$2.99","$3.01","$2.98","$2.98","3,866,851","-0.01","-0.33%"
"22 Nov 2024","$2.99","$2.99","$2.95","$2.97","2,180,251","-0.02","-0.67%"
"21 Nov 2024","$2.98","$3.00","$2.95","$2.97","1,587,689","-0.01","-0.34%"
"20 Nov 2024","$3.03","$3.03","$2.97","$2.98","2,206,697","-0.05","-1.65%"
"19 Nov 2024","$3.00","$3.06","$2.99","$3.03","1,313,886","0.03","1%"
"18 Nov 2024","$3.01","$3.02","$2.99","$3.01","1,593,879","0","0%"
"15 Nov 2024","$3.02","$3.03","$2.98","$3.00","1,832,366","-0.02","-0.66%"
"14 Nov 2024","$3.01","$3.02","$2.99","$3.00","1,590,747","-0.01","-0.33%"
"13 Nov 2024","$3.01","$3.02","$2.99","$3.00","1,543,965","-0.01","-0.33%"
"12 Nov 2024","$3.02","$3.04","$3.01","$3.03","1,980,684","0.01","0.33%"
"11 Nov 2024","$3.02","$3.04","$3.01","$3.01","2,384,484","-0.01","-0.33%"
"8 Nov 2024","$3.03","$3.04","$3.00","$3.02","1,376,664","-0.01","-0.33%"
"7 Nov 2024","$3.04","$3.07","$3.00","$3.01","1,707,332","-0.03","-0.99%"
"6 Nov 2024","$3.09","$3.09","$3.04","$3.04","947,381","-0.05","-1.62%"
"5 Nov 2024","$3.06","$3.07","$3.05","$3.06","703,012","0","0%"
"4 Nov 2024","$3.08","$3.08","$3.04","$3.05","589,225","-0.03","-0.97%"
"1 Nov 2024","$3.04","$3.06","$3.04","$3.04","1,344,883","0","0%"
"31 Oct 2024","$3.05","$3.07","$3.04","$3.05","1,388,760","0","0%"
"30 Oct 2024","$3.06","$3.07","$3.04","$3.06","1,177,943","0","0%"
"29 Oct 2024","$3.10","$3.10","$3.05","$3.07","1,652,637","-0.03","-0.97%"
"28 Oct 2024","$3.10","$3.11","$3.08","$3.09","1,527,438","-0.01","-0.32%"
"25 Oct 2024","$3.15","$3.16","$3.09","$3.11","1,152,263","-0.04","-1.27%"
"24 Oct 2024","$3.14","$3.17","$3.13","$3.15","1,006,518","0.01","0.32%"
"23 Oct 2024","$3.16","$3.18","$3.15","$3.15","969,486","-0.01","-0.32%"
"22 Oct 2024","$3.16","$3.18","$3.14","$3.16","1,219,952","0","0%"
"21 Oct 2024","$3.22","$3.22","$3.18","$3.19","1,073,332","-0.03","-0.93%"
"18 Oct 2024","$3.24","$3.25","$3.18","$3.19","1,585,643","-0.05","-1.54%"
"17 Oct 2024","$3.20","$3.24","$3.19","$3.24","2,130,189","0.04","1.25%"
"16 Oct 2024","$3.19","$3.19","$3.17","$3.17","1,066,407","-0.02","-0.63%"
"15 Oct 2024","$3.17","$3.19","$3.16","$3.19","1,320,412","0.02","0.63%"
"14 Oct 2024","$3.20","$3.20","$3.14","$3.16","1,471,987","-0.04","-1.25%"
"11 Oct 2024","$3.17","$3.20","$3.16","$3.19","634,910","0.02","0.63%"
"10 Oct 2024","$3.20","$3.21","$3.18","$3.19","1,014,250","-0.01","-0.31%"
"9 Oct 2024","$3.22","$3.22","$3.19","$3.19","1,153,651","-0.03","-0.93%"
"8 Oct 2024","$3.20","$3.24","$3.19","$3.20","1,886,871","0","0%"
"7 Oct 2024","$3.22","$3.23","$3.20","$3.23","453,447","0.01","0.31%"
"4 Oct 2024","$3.23","$3.24","$3.21","$3.22","867,717","-0.01","-0.31%"
"3 Oct 2024","$3.22","$3.24","$3.21","$3.24","1,141,732","0.02","0.62%"
"2 Oct 2024","$3.22","$3.24","$3.17","$3.19","1,421,478","-0.03","-0.93%"
